issue_key,debt_type,debt_indicator,text_content,time_spent_on_repayment_after_debt_reported (h),existing_debt_in_the_system,debt_reported_by_creators,debt_location,resolve_status,resolved_by,notes
HADOOP-8168,Code,Low-quality code ,Although I'd suggest maybe something like this to avoid spurious whitespace:,2540,No,No,Patch,Resolved,Creators,
HADOOP-8236,Documentation,Outdated documentation,"Nit: can remove the ""TODO"" before transitionToActive since this is now configurable.",35,No,No,Patch,Resolved,Creators,
HADOOP-8288,Code,Dead code,Remove references of mapred.child.ulimit etc. since they are not being used any more,47,Yes,No,System,Resolved,Identifiers,
HADOOP-8350,Code,Low-quality code ,"A couple of nits: in TestNetUtils, there is a magic number of 200 in assertTimeSince, and on assertReadTimeout maybe call the second parameter expectedMillis (since its not clear if it's nanos or millis).",1,No,No,Patch,Resolved,Creators,
HADOOP-8364,Build,Poor deployment practice,"This is a matter of maintainability and understandability, and therefore robustness under future changes in build.xml.  No substantial change in functionality is proposed.",-,Yes,No,System,Unresolved,-,
HADOOP-8597,Code,Low-quality code ,Jenkins says that org.apache.hadoop.fs.shell.Display$AvroFileInputStream should be static.,1,No,No,Patch,Resolved,Identifiers,
HADOOP-8597,Test,Lack of tests,This looks like a useful addition.  Can you please add a unit test for it?,67,No,No,Patch,Resolved,Creators,
HADOOP-8726,Code,Low-quality code ,"# A few nits on the style and consistency.  Should add a space around one of the ""!="", and use a cuddled ""if"".Regarding {{getCredentials}}:  The existing {{getTokens}} is returning an immutable list prevent the caller from directly tampering with the UGI's tokens.  {{getCredentials}} must also return a copy to avoid leaking tokens into the wrong UGI.  Ex.  Let's say I want to get the tokens from one UGI, add more tokens, and then use those with a new UGI.  With the change in this patch, the original UGI will now also contain the new tokens only intended for the new/other UGI.  You'll probably need to add a private {{getCredentialsInternal}} that fetches from the {{Subject}}, and the public {{getCredentials}} returns {{new Credentials(getCredentialsInternal())}}.",23,No,No,Patch,Resolved,Identifiers,
HADOOP-8726,Code,Duplicated code ,# {{UGI.getLoginUser}} should call {{UGI.addCredentials}} instead of duplicating the logic of that method.,23,No,No,Patch,Resolved,Identifiers,
HADOOP-8726,Test,Lack of tests,"I'll write some test, but it would be great if you can test with specific use case.",22,No,No,Patch,Resolved,Identifiers,
HADOOP-8866,Code,Slow algorithm,"SampleQuantiles#query() does O(N) calls LinkedList#get() in a loop, rather than using an iterator. This makes query O(N^2), rather than O(N).",75,Yes,No,System,Resolved,Identifiers,
HADOOP-8921,Defect,Uncorrected known defects,"Hi Giri, does the latest patch looks good to you?  Could you commit it?",-,Yes,No,System,Unresolved,-,
HADOOP-9042,Code,Low-quality code ,"Can remove the import of Assume or convert the test to junit4, otherwise +1",0,No,No,Patch,Resolved,Creators,
HADOOP-9042,Test,Lack of tests,Add a unit test to make sure {{umask}} is working correctly in FileSystemContractBaseTest.,1344,Yes,No,System,Resolved,Identifiers,
HADOOP-9254,Test,Low coverage,"Cover packages org.apache.hadoop.util.bloom, org.apache.hadoop.util.hash",5939,Yes,No,System,Resolved,Identifiers,
HADOOP-9259,Code,Low-quality code,the teardown code in FileSystemContractBaseTest assumes that {{fs!=null}} and that it's OK to throw an exception if the delete operation fails. Better to check the {{fs}} value and catch and convert an exception in the {{fs.delete()}} operation to a {{LOG.error()}} instead.This will stop failures in teardown becoming a distraction from the root causes of the problem (that your FileSystem is broken),1635,Yes,No,System,Resolved,Identifiers,
HADOOP-9305,Code,Complex code,"ATM, what about opening a JIRA to clean this spaghetti of conditionals replacing it with a MAP and a simple struct having the needed settings?",-,Yes,No,System,Unresolved,-,
HADOOP-9364,Code,Low-quality code ,"instead of globUri.getPath().equals(""""), we can use globUri.getPath().isEmpty().  I changed it in the new patch.",11,No,No,Patch,Resolved,Identifiers,
HADOOP-9369,Test,Lack of tests,"Hi Karthik, the patch seems fine to me, and I agree that the patch is so simple and writing a test sufficiently difficult that it seems unnecessary to write a test for this.",-,No,No,Patch,Unresolved,-,
HADOOP-9669,Code,Dead code ,5. it would be nice to remove the extra copy for writeFixedOpaque,-,No,No,Patch,Unresolved,-,
HADOOP-9669,Documentation,Low-quality documentation,"1. please try to keep the original javadoc for the same named methods2. can you make ""State state"" as final?3. please fix the javadoc /** check if the rest of data has more than <len> bytes */""len"" is not visible in generated javadoc",2,No,No,Patch,Resolved,Creators,
HADOOP-9683,Code,Low-quality code ,"Minor nit: it'll be nice to preserve the ""bytes read"" in the exception log in Listener#doRead.",112,No,No,Patch,Resolved,Creators,
HADOOP-9683,Documentation,Low-quality documentation,* server#processConnectionContext  - the exception thrown is RpcReply exception - in the javadoc please specify that it throws the rpcReplyException whch wrap the AccessControlException and which other one (does not seem to be RpcDeserializationException as mentioned in Javadoc).,5,No,No,Patch,Resolved,Creators,
HADOOP-9748,Code,Multi-thread correctness,"Description-----Author: Daryn Sharp. EnsureInitialized is always sync'ed on the class, when it should only sync if it actually has to initialize.-----Comment No.0-----To last: -20h-----Author: Daryn Sharp. Minor change.  This helps reduce unnecessary class lock contention between such common methods as {{UGI#getGroupNames}} and {{UGI.getCurrentUser}}, etc.",20,Yes,No,System,Resolved,Identifiers,
HADOOP-9763,Architecture,Violation of modularity,"Nicholas, this should be moved to hadoop-common, right?",-,Yes,No,System,Unresolved,-,
HADOOP-9763,Code,Low-quality code ,2. It would be better if we can add an upper limit for the size of the GSet. This can guarantee NN continues to function even when a large amount of retry requests come within a short period of time.,7,No,No,Patch,Resolved,Creators,
HADOOP-9763,Documentation,Low-quality documentation,"if more javadoc/comments can be added to TestLightWeightCache, such as the general steps for each check process, and what is tested for each step.",10,No,No,Patch,Resolved,Creators,
HADOOP-9763,Test,Lack of tests,Still need to test it.,63,No,Yes,Patch,Resolved,Creators,
HADOOP-9791,Test,Low coverage,Add a test case covering long paths for new FileUtil access check methods-----Description-----Author: Ivan Mitic. We’ve seen historically that paths longer than 260 chars can cause things not to work on Windows if not properly handled. Filing a tracking Jira to add a native io test case with long paths for new FileUtil access check methods added with HADOOP-9413.,1229,Yes,No,System,Resolved,Identifiers,
HADOOP-9820,Code,Low-quality code ,"# SaslRpcClient.SaslRpc*Stream should be named SaslRpcClient.Wrapped*Stream.# The default stream buffer size should be configurable instead of hard coded ""64*1024"".",22,No,No,Patch,Resolved,Creators,
HADOOP-9883,Code,Low-quality code ,The two things I'd recommend are using 2 spaces for indentation and following the 80 char limit per line.,-,No,No,Patch,Unresolved,-,Not committed 
